movieId,personId,sourceUrl
movie-027,person-002,https://www.wikidata.org/wiki/Q483941
movie-016,person-003,https://www.wikidata.org/wiki/Q163872
movie-028,person-004,https://www.wikidata.org/wiki/Q17738
movie-027,person-064,https://www.wikidata.org/wiki/Q483941
movie-016,person-065,https://www.wikidata.org/wiki/Q163872
movie-025,person-066,https://www.wikidata.org/wiki/Q47703
movie-014,person-067,https://www.wikidata.org/wiki/Q134773
movie-010,person-068,https://www.wikidata.org/wiki/Q104123
movie-008,person-069,https://www.wikidata.org/wiki/Q83495
movie-028,person-070,https://www.wikidata.org/wiki/Q17738
movie-027,person-071,https://www.wikidata.org/wiki/Q483941
movie-024,person-072,https://www.wikidata.org/wiki/Q190050
movie-024,person-073,https://www.wikidata.org/wiki/Q190050
movie-027,person-074,https://www.wikidata.org/wiki/Q483941
movie-028,person-075,https://www.wikidata.org/wiki/Q17738
movie-023,person-075,https://www.wikidata.org/wiki/Q181795
movie-014,person-076,https://www.wikidata.org/wiki/Q134773
movie-016,person-077,https://www.wikidata.org/wiki/Q163872
movie-014,person-078,https://www.wikidata.org/wiki/Q134773
movie-022,person-079,https://www.wikidata.org/wiki/Q172241
movie-014,person-080,https://www.wikidata.org/wiki/Q134773
movie-011,person-012,https://www.wikidata.org/wiki/Q127367
movie-012,person-012,https://www.wikidata.org/wiki/Q131074
movie-017,person-012,https://www.wikidata.org/wiki/Q164963
movie-019,person-002,https://www.wikidata.org/wiki/Q165817
movie-029,person-003,https://www.wikidata.org/wiki/Q25188
movie-002,person-003,https://www.wikidata.org/wiki/Q13417189
movie-020,person-013,https://www.wikidata.org/wiki/Q170564
movie-011,person-041,https://www.wikidata.org/wiki/Q127367
movie-012,person-041,https://www.wikidata.org/wiki/Q131074
movie-017,person-041,https://www.wikidata.org/wiki/Q164963
movie-029,person-065,https://www.wikidata.org/wiki/Q25188
movie-002,person-065,https://www.wikidata.org/wiki/Q13417189
movie-020,person-042,https://www.wikidata.org/wiki/Q170564
movie-019,person-081,https://www.wikidata.org/wiki/Q165817
movie-026,person-082,https://www.wikidata.org/wiki/Q190908
movie-009,person-044,https://www.wikidata.org/wiki/Q91540
movie-011,person-083,https://www.wikidata.org/wiki/Q127367
movie-012,person-083,https://www.wikidata.org/wiki/Q131074
movie-017,person-083,https://www.wikidata.org/wiki/Q164963
movie-030,person-084,https://www.wikidata.org/wiki/Q36479
movie-020,person-085,https://www.wikidata.org/wiki/Q170564
movie-019,person-086,https://www.wikidata.org/wiki/Q165817
movie-019,person-087,https://www.wikidata.org/wiki/Q165817
movie-002,person-088,https://www.wikidata.org/wiki/Q13417189
movie-009,person-089,https://www.wikidata.org/wiki/Q91540
movie-011,person-090,https://www.wikidata.org/wiki/Q127367
movie-015,person-001,https://www.wikidata.org/wiki/Q153723
movie-021,person-091,https://www.wikidata.org/wiki/Q171048
movie-003,person-092,https://www.wikidata.org/wiki/Q15732802
movie-006,person-093,https://www.wikidata.org/wiki/Q42759035
movie-006,person-018,https://www.wikidata.org/wiki/Q42759035
movie-007,person-020,https://www.wikidata.org/wiki/Q61448040
movie-015,person-068,https://www.wikidata.org/wiki/Q153723
movie-018,person-068,https://www.wikidata.org/wiki/Q165325
movie-004,person-094,https://www.wikidata.org/wiki/Q23780914
movie-005,person-094,https://www.wikidata.org/wiki/Q23781155
movie-021,person-095,https://www.wikidata.org/wiki/Q171048
movie-001,person-096,https://www.wikidata.org/wiki/Q571032
movie-001,person-097,https://www.wikidata.org/wiki/Q571032
movie-021,person-098,https://www.wikidata.org/wiki/Q171048
movie-003,person-021,https://www.wikidata.org/wiki/Q15732802
movie-013,person-099,https://www.wikidata.org/wiki/Q132863
movie-001,person-100,https://www.wikidata.org/wiki/Q571032
movie-006,person-101,https://www.wikidata.org/wiki/Q42759035
movie-003,person-102,https://www.wikidata.org/wiki/Q15732802
movie-007,person-103,https://www.wikidata.org/wiki/Q61448040
