movieId,personId,sourceUrl
movie-010,person-001,https://www.wikidata.org/wiki/Q104123
movie-016,person-003,https://www.wikidata.org/wiki/Q163872
movie-028,person-004,https://www.wikidata.org/wiki/Q17738
movie-023,person-004,https://www.wikidata.org/wiki/Q181795
movie-025,person-005,https://www.wikidata.org/wiki/Q47703
movie-025,person-025,https://www.wikidata.org/wiki/Q47703
movie-008,person-026,https://www.wikidata.org/wiki/Q83495
movie-023,person-027,https://www.wikidata.org/wiki/Q181795
movie-024,person-028,https://www.wikidata.org/wiki/Q190050
movie-027,person-029,https://www.wikidata.org/wiki/Q483941
movie-022,person-009,https://www.wikidata.org/wiki/Q172241
movie-023,person-030,https://www.wikidata.org/wiki/Q181795
movie-016,person-031,https://www.wikidata.org/wiki/Q163872
movie-016,person-032,https://www.wikidata.org/wiki/Q163872
movie-016,person-033,https://www.wikidata.org/wiki/Q163872
movie-010,person-034,https://www.wikidata.org/wiki/Q104123
movie-016,person-035,https://www.wikidata.org/wiki/Q163872
movie-014,person-036,https://www.wikidata.org/wiki/Q134773
movie-014,person-037,https://www.wikidata.org/wiki/Q134773
movie-024,person-038,https://www.wikidata.org/wiki/Q190050
movie-011,person-012,https://www.wikidata.org/wiki/Q127367
movie-012,person-012,https://www.wikidata.org/wiki/Q131074
movie-017,person-012,https://www.wikidata.org/wiki/Q164963
movie-029,person-003,https://www.wikidata.org/wiki/Q25188
movie-002,person-003,https://www.wikidata.org/wiki/Q13417189
movie-020,person-013,https://www.wikidata.org/wiki/Q170564
movie-019,person-039,https://www.wikidata.org/wiki/Q165817
movie-011,person-040,https://www.wikidata.org/wiki/Q127367
movie-012,person-040,https://www.wikidata.org/wiki/Q131074
movie-017,person-040,https://www.wikidata.org/wiki/Q164963
movie-011,person-041,https://www.wikidata.org/wiki/Q127367
movie-012,person-041,https://www.wikidata.org/wiki/Q131074
movie-017,person-041,https://www.wikidata.org/wiki/Q164963
movie-009,person-008,https://www.wikidata.org/wiki/Q91540
movie-020,person-042,https://www.wikidata.org/wiki/Q170564
movie-002,person-033,https://www.wikidata.org/wiki/Q13417189
movie-026,person-043,https://www.wikidata.org/wiki/Q190908
movie-009,person-044,https://www.wikidata.org/wiki/Q91540
movie-020,person-045,https://www.wikidata.org/wiki/Q170564
movie-030,person-046,https://www.wikidata.org/wiki/Q36479
movie-030,person-047,https://www.wikidata.org/wiki/Q36479
movie-017,person-048,https://www.wikidata.org/wiki/Q164963
movie-030,person-049,https://www.wikidata.org/wiki/Q36479
movie-015,person-001,https://www.wikidata.org/wiki/Q153723
movie-018,person-001,https://www.wikidata.org/wiki/Q165325
movie-001,person-001,https://www.wikidata.org/wiki/Q571032
movie-005,person-050,https://www.wikidata.org/wiki/Q23781155
movie-021,person-016,https://www.wikidata.org/wiki/Q171048
movie-021,person-051,https://www.wikidata.org/wiki/Q171048
movie-005,person-052,https://www.wikidata.org/wiki/Q23781155
movie-013,person-017,https://www.wikidata.org/wiki/Q132863
movie-021,person-017,https://www.wikidata.org/wiki/Q171048
movie-021,person-053,https://www.wikidata.org/wiki/Q171048
movie-006,person-018,https://www.wikidata.org/wiki/Q42759035
movie-021,person-054,https://www.wikidata.org/wiki/Q171048
movie-007,person-020,https://www.wikidata.org/wiki/Q61448040
movie-013,person-055,https://www.wikidata.org/wiki/Q132863
movie-006,person-056,https://www.wikidata.org/wiki/Q42759035
movie-013,person-057,https://www.wikidata.org/wiki/Q132863
movie-021,person-058,https://www.wikidata.org/wiki/Q171048
movie-021,person-059,https://www.wikidata.org/wiki/Q171048
movie-004,person-060,https://www.wikidata.org/wiki/Q23780914
movie-005,person-060,https://www.wikidata.org/wiki/Q23781155
movie-004,person-061,https://www.wikidata.org/wiki/Q23780914
movie-005,person-061,https://www.wikidata.org/wiki/Q23781155
movie-003,person-062,https://www.wikidata.org/wiki/Q15732802
movie-007,person-063,https://www.wikidata.org/wiki/Q61448040
