episodeId,personId,sourceUrl
episode-001,person-246,https://www.tvmaze.com/episodes/4952/game-of-thrones-1x01-winter-is-coming
episode-002,person-246,https://www.tvmaze.com/episodes/4953/game-of-thrones-1x02-the-kingsroad
episode-003,person-247,https://www.tvmaze.com/episodes/4954/game-of-thrones-1x03-lord-snow
episode-004,person-247,https://www.tvmaze.com/episodes/4955/game-of-thrones-1x04-cripples-bastards-and-broken-things
episode-005,person-249,https://www.tvmaze.com/episodes/4962/game-of-thrones-2x01-the-north-remembers
episode-006,person-249,https://www.tvmaze.com/episodes/4963/game-of-thrones-2x02-the-night-lands
episode-007,person-250,https://www.tvmaze.com/episodes/4964/game-of-thrones-2x03-what-is-dead-may-never-die
episode-008,person-251,https://www.tvmaze.com/episodes/4965/game-of-thrones-2x04-garden-of-bones
episode-009,person-253,https://www.tvmaze.com/episodes/4972/game-of-thrones-3x01-valar-dohaeris
episode-010,person-253,https://www.tvmaze.com/episodes/4973/game-of-thrones-3x02-dark-wings-dark-words
episode-011,person-239,https://www.tvmaze.com/episodes/4974/game-of-thrones-3x03-walk-of-punishment
episode-011,person-240,https://www.tvmaze.com/episodes/4974/game-of-thrones-3x03-walk-of-punishment
episode-012,person-254,https://www.tvmaze.com/episodes/4975/game-of-thrones-3x04-and-now-his-watch-is-ended
episode-013,person-255,https://www.tvmaze.com/episodes/12192/breaking-bad-1x01-pilot
episode-014,person-261,https://www.tvmaze.com/episodes/12193/breaking-bad-1x02-cats-in-the-bag
episode-015,person-261,https://www.tvmaze.com/episodes/12194/breaking-bad-1x03-and-the-bags-in-the-river
episode-016,person-262,https://www.tvmaze.com/episodes/12195/breaking-bad-1x04-cancer-man
episode-017,person-256,https://www.tvmaze.com/episodes/12199/breaking-bad-2x01-seven-thirty-seven
episode-018,person-264,https://www.tvmaze.com/episodes/12200/breaking-bad-2x02-grilled
episode-019,person-266,https://www.tvmaze.com/episodes/12201/breaking-bad-2x03-bit-by-a-dead-bee
episode-020,person-268,https://www.tvmaze.com/episodes/12202/breaking-bad-2x04-down
episode-021,person-256,https://www.tvmaze.com/episodes/12212/breaking-bad-3x01-no-mas
episode-022,person-261,https://www.tvmaze.com/episodes/12213/breaking-bad-3x02-caballo-sin-nombre
episode-023,person-270,https://www.tvmaze.com/episodes/12214/breaking-bad-3x03-ift
episode-024,person-271,https://www.tvmaze.com/episodes/12215/breaking-bad-3x04-green-light
episode-025,person-278,https://www.tvmaze.com/episodes/12907/the-wire-1x01-the-target
episode-026,person-278,https://www.tvmaze.com/episodes/12908/the-wire-1x02-the-detail
episode-027,person-280,https://www.tvmaze.com/episodes/12909/the-wire-1x03-the-buys
episode-028,person-281,https://www.tvmaze.com/episodes/12910/the-wire-1x04-old-cases
episode-029,person-282,https://www.tvmaze.com/episodes/12921/the-wire-2x01-ebb-tide
episode-030,person-282,https://www.tvmaze.com/episodes/12922/the-wire-2x02-collateral-damage
episode-031,person-283,https://www.tvmaze.com/episodes/12923/the-wire-2x03-hot-shots
episode-032,person-283,https://www.tvmaze.com/episodes/12924/the-wire-2x04-hard-cases
episode-033,person-282,https://www.tvmaze.com/episodes/12933/the-wire-3x01-time-after-time
