id,name,birthYear,primaryProfession,wikidataId,tvmazeId,sourceUrl
person-071,Branko Lustig,1932,Producer,Q703611,,https://www.wikidata.org/wiki/Q703611
person-072,Art Linson,1942,Producer,Q705631,,https://www.wikidata.org/wiki/Q705631
person-073,Ceán Chaffin,1957,Producer,Q961183,,https://www.wikidata.org/wiki/Q961183
person-074,Gerald R. Molen,1935,Producer,Q1385337,,https://www.wikidata.org/wiki/Q1385337
person-075,Gary Kurtz,1940,Producer,Q1494912,,https://www.wikidata.org/wiki/Q1494912
person-076,Steve Starkey,2000,Producer,Q2347318,,https://www.wikidata.org/wiki/Q2347318
person-077,Charles Roven,1949,Producer,Q2740357,,https://www.wikidata.org/wiki/Q2740357
person-078,Charles Newirth,1955,Producer,Q5081233,,https://www.wikidata.org/wiki/Q5081233
person-079,Niki Marvin,2000,Producer,Q7034951,,https://www.wikidata.org/wiki/Q7034951
person-080,Steve Tisch,1949,Producer,Q7482626,,https://www.wikidata.org/wiki/Q7482626
person-081,Ian Bryce,1956,Producer,Q536964,,https://www.wikidata.org/wiki/Q536964
person-082,Arnold Kopelson,1935,Producer,Q695608,,https://www.wikidata.org/wiki/Q695608
person-083,Barrie M. Osborne,1944,Producer,Q808917,,https://www.wikidata.org/wiki/Q808917
person-084,Don Hahn,1955,Producer,Q1072843,,https://www.wikidata.org/wiki/Q1072843
person-085,Mario Kassar,1951,Producer,Q1385214,,https://www.wikidata.org/wiki/Q1385214
person-086,Gary Levinsohn,1959,Producer,Q1494906,,https://www.wikidata.org/wiki/Q1494906
person-087,Mark Gordon,1956,Producer,Q2417149,,https://www.wikidata.org/wiki/Q2417149
person-088,Q6708571,1950,Producer,Q6708571,,https://www.wikidata.org/wiki/Q6708571
person-089,Neil Canton,1948,Producer,Q6988354,,https://www.wikidata.org/wiki/Q6988354
person-090,Tim Sanders,,Producer,Q22676727,,https://www.wikidata.org/wiki/Q22676727
person-091,Edwin Catmull,1945,Producer,Q93161,,https://www.wikidata.org/wiki/Q93161
person-092,Eva Longoria,1975,Producer,Q163263,,https://www.wikidata.org/wiki/Q163263
person-093,Bradley Cooper,1975,Producer,Q205707,,https://www.wikidata.org/wiki/Q205707
person-094,Kevin Feige,1973,Producer,Q515161,,https://www.wikidata.org/wiki/Q515161
person-095,Bonnie Arnold,1955,Producer,Q1132913,,https://www.wikidata.org/wiki/Q1132913
person-096,Stacey Sher,1962,Producer,Q2325642,,https://www.wikidata.org/wiki/Q2325642
person-097,Reginald Hudlin,1961,Producer,Q3110579,,https://www.wikidata.org/wiki/Q3110579
person-098,Ralph Guggenheim,1951,Producer,Q3418257,,https://www.wikidata.org/wiki/Q3418257
person-099,Graham Walters,1976,Producer,Q5884128,,https://www.wikidata.org/wiki/Q5884128
person-100,Pilar Savone,1971,Producer,Q6557253,,https://www.wikidata.org/wiki/Q6557253
person-101,Emma Tillinger Koskoff,1972,Producer,Q15735681,,https://www.wikidata.org/wiki/Q15735681
person-102,Basil Iwanyk,1970,Producer,Q52714247,,https://www.wikidata.org/wiki/Q52714247
person-103,Kwak Sin-ae,1968,Producer,Q83945397,,https://www.wikidata.org/wiki/Q83945397
person-104,Tim Robbins,1958,Actor,Q95048,,https://www.wikidata.org/wiki/Q95048
person-105,Marlon Brando,1924,Actor,Q34012,,https://www.wikidata.org/wiki/Q34012
person-106,Al Pacino,1940,Actor,Q41163,,https://www.wikidata.org/wiki/Q41163
person-107,James Caan,1940,Actor,Q95043,,https://www.wikidata.org/wiki/Q95043
person-108,Diane Keaton,1946,Actor,Q102642,,https://www.wikidata.org/wiki/Q102642
person-109,Talia Shire,1946,Actor,Q108622,,https://www.wikidata.org/wiki/Q108622
person-110,Robert Duvall,1931,Actor,Q171736,,https://www.wikidata.org/wiki/Q171736
person-111,John Cazale,1935,Actor,Q296177,,https://www.wikidata.org/wiki/Q296177
person-112,Abe Vigoda,1921,Actor,Q318220,,https://www.wikidata.org/wiki/Q318220
person-113,Heath Ledger,1979,Actor,Q40572,,https://www.wikidata.org/wiki/Q40572
person-114,Christian Bale,1974,Actor,Q45772,,https://www.wikidata.org/wiki/Q45772
person-115,Morgan Freeman,1937,Actor,Q48337,,https://www.wikidata.org/wiki/Q48337
person-116,Gary Oldman,1958,Actor,Q83492,,https://www.wikidata.org/wiki/Q83492
person-117,Michael Caine,1933,Actor,Q123351,,https://www.wikidata.org/wiki/Q123351
person-118,Aaron Eckhart,1968,Actor,Q192643,,https://www.wikidata.org/wiki/Q192643
person-119,Maggie Gyllenhaal,1977,Actor,Q202381,,https://www.wikidata.org/wiki/Q202381
person-120,Cillian Murphy,1976,Actor,Q202589,,https://www.wikidata.org/wiki/Q202589
person-121,Dick Cavett,1936,Actor,Q375356,,https://www.wikidata.org/wiki/Q375356
person-122,Michael Conner Humphreys,1985,Actor,Q1357803,,https://www.wikidata.org/wiki/Q1357803
person-123,Sonny Shroyer,1935,Actor,Q2384946,,https://www.wikidata.org/wiki/Q2384946
person-124,Joe Stefanelli,1960,Actor,Q6212499,,https://www.wikidata.org/wiki/Q6212499
person-125,John William Galt,1940,Actor,Q26858814,,https://www.wikidata.org/wiki/Q26858814
person-126,Tom Hanks,1956,Actor,Q2263,,https://www.wikidata.org/wiki/Q2263
person-127,Hanna R. Hall,1984,Actor,Q14446,,https://www.wikidata.org/wiki/Q14446
person-128,Brad Pitt,1963,Actor,Q35332,,https://www.wikidata.org/wiki/Q35332
person-129,Edward Norton,1969,Actor,Q125904,,https://www.wikidata.org/wiki/Q125904
person-130,Meat Loaf,1947,Actor,Q152929,,https://www.wikidata.org/wiki/Q152929
person-131,Helena Bonham Carter,1966,Actor,Q170428,,https://www.wikidata.org/wiki/Q170428
person-132,Jared Leto,1971,Actor,Q484523,,https://www.wikidata.org/wiki/Q484523
person-133,Bruce Willis,1955,Actor,Q2680,,https://www.wikidata.org/wiki/Q2680
person-134,John Travolta,1954,Actor,Q80938,,https://www.wikidata.org/wiki/Q80938
person-135,Uma Thurman,1970,Actor,Q125017,,https://www.wikidata.org/wiki/Q125017
person-136,Samuel L. Jackson,1948,Actor,Q172678,,https://www.wikidata.org/wiki/Q172678
person-137,Harvey Keitel,1939,Actor,Q191132,,https://www.wikidata.org/wiki/Q191132
person-138,Ving Rhames,1959,Actor,Q310315,,https://www.wikidata.org/wiki/Q310315
person-139,Ralph Fiennes,1962,Actor,Q28493,,https://www.wikidata.org/wiki/Q28493
person-140,Liam Neeson,1952,Actor,Q58444,,https://www.wikidata.org/wiki/Q58444
person-141,Ben Kingsley,1943,Actor,Q173158,,https://www.wikidata.org/wiki/Q173158
person-142,Caroline Goodall,1959,Actor,Q201976,,https://www.wikidata.org/wiki/Q201976
person-143,Embeth Davidtz,1965,Actor,Q260622,,https://www.wikidata.org/wiki/Q260622
person-144,Elina Löwensohn,1966,Actor,Q450694,,https://www.wikidata.org/wiki/Q450694
person-145,Andrzej Seweryn,1946,Actor,Q515592,,https://www.wikidata.org/wiki/Q515592
person-146,Jonathan Sagall,1959,Actor,Q1356584,,https://www.wikidata.org/wiki/Q1356584
person-147,Marcus Chong,1967,Actor,Q1236595,,https://www.wikidata.org/wiki/Q1236595
person-148,Matt Doran,1976,Actor,Q2424724,,https://www.wikidata.org/wiki/Q2424724
person-149,Hugo Weaving,1960,Actor,Q42204,,https://www.wikidata.org/wiki/Q42204
person-150,Keanu Reeves,1964,Actor,Q43416,,https://www.wikidata.org/wiki/Q43416
person-151,Laurence Fishburne,1961,Actor,Q193048,,https://www.wikidata.org/wiki/Q193048
person-152,Carrie-Anne Moss,1967,Actor,Q206890,,https://www.wikidata.org/wiki/Q206890
person-153,Joe Pantoliano,1951,Actor,Q296883,,https://www.wikidata.org/wiki/Q296883
person-154,Gloria Foster,1933,Actor,Q455234,,https://www.wikidata.org/wiki/Q455234
