id,seriesId,seasonId,title,seasonNumber,episodeNumber,year,runtime,rating,ratingSource,description,tvmazeId,sourceUrl
episode-053,series-005,season-014,The One With Ross's New Girlfriend,2,1,1995,30,8.8,TVmaze average rating,Rachel meets Ross's female travel companion; Joey unwittingly recommends a seamy tailor to Chandler; and Phoebe cuts Monica's hair.,40670,https://www.tvmaze.com/episodes/40670/friends-2x01-the-one-with-rosss-new-girlfriend
episode-054,series-005,season-014,The One With the Breast Milk,2,2,1995,30,8.5,TVmaze average rating,Monica goes shopping with Julie behind Rachel's back; Ross isn't exactly gaga over breast milk.,40671,https://www.tvmaze.com/episodes/40671/friends-2x02-the-one-with-the-breast-milk
episode-055,series-005,season-014,The One Where Heckles Dies,2,3,1995,30,8.8,TVmaze average rating,The gang disturbs Mr. Heckles for the last time; Phoebe takes issue with Ross on the subject of evolution.,40672,https://www.tvmaze.com/episodes/40672/friends-2x03-the-one-where-heckles-dies
episode-056,series-005,season-014,The One With Phoebe's Husband,2,4,1995,30,8.6,TVmaze average rating,Phoebe's secret husband shows up; Rachel tries to distract Ross from having sex with Julie.,40673,https://www.tvmaze.com/episodes/40673/friends-2x04-the-one-with-phoebes-husband
episode-057,series-005,season-015,The One With the Princess Leia Fantasy,3,1,1996,30,8.8,TVmaze average rating,Janice tries to change Joey's opinion of her; Ross's sexual fantasy isn't kept between him and Rachel; Monica can't shake memories of Richard.,40694,https://www.tvmaze.com/episodes/40694/friends-3x01-the-one-with-the-princess-leia-fantasy
episode-058,series-005,season-015,The One Where No One's Ready,3,2,1996,30,9.0,TVmaze average rating,Nobody seems to be getting the message when Ross demands that the group get ready for his black-tie benefit.,40695,https://www.tvmaze.com/episodes/40695/friends-3x02-the-one-where-no-ones-ready
episode-059,series-005,season-015,The One With the Jam,3,3,1996,30,8.3,TVmaze average rating,Monica turns her attention from making jam to maybe making a baby; Phoebe befriends a guy who's stalking her twin sister.,40696,https://www.tvmaze.com/episodes/40696/friends-3x03-the-one-with-the-jam
episode-060,series-005,season-015,The One With the Metaphorical Tunnel,3,4,1996,30,8.3,TVmaze average rating,Chandler decides to make a real commitment to Janice; Phoebe poses as Joey's agent; Ross is troubled by Ben's toy.,40697,https://www.tvmaze.com/episodes/40697/friends-3x04-the-one-with-the-metaphorical-tunnel
episode-061,series-006,season-016,Pilot,1,1,2005,30,7.6,TVmaze average rating,A documentary crew arrives at Dundler Mifflin to observe the workplace. Michael Scott tries to paint a happy picture while facing potential downsizing.,47640,https://www.tvmaze.com/episodes/47640/the-office-1x01-pilot
episode-062,series-006,season-016,Diversity Day,1,2,2005,30,8.1,TVmaze average rating,Corporate sends in a consultant after Michael attempts to imitate a Chris Rock routine. Michael ends up staging his own Diversity Day event.,47641,https://www.tvmaze.com/episodes/47641/the-office-1x02-diversity-day
