movieId,personId,characterId,roleName,sourceUrl
movie-022,person-104,character-001,Andy Dufresne,https://www.wikidata.org/wiki/Q172241
movie-025,person-105,character-002,Vito Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-106,character-003,Michael Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-107,character-004,Sonny Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-108,character-005,Kay Adams-Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-109,character-006,Connie Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-110,character-007,Tom Hagen,https://www.wikidata.org/wiki/Q47703
movie-025,person-111,character-008,Fredo Corleone,https://www.wikidata.org/wiki/Q47703
movie-025,person-112,character-009,Salvatore Tessio,https://www.wikidata.org/wiki/Q47703
movie-016,person-113,character-010,The Joker,https://www.wikidata.org/wiki/Q163872
movie-016,person-114,character-011,Bruce Wayne,https://www.wikidata.org/wiki/Q163872
movie-016,person-115,character-012,Lucius Fox,https://www.wikidata.org/wiki/Q163872
movie-016,person-116,character-013,Jim Gordon,https://www.wikidata.org/wiki/Q163872
movie-016,person-117,character-014,Alfred Pennyworth,https://www.wikidata.org/wiki/Q163872
movie-016,person-118,character-015,Harvey Dent,https://www.wikidata.org/wiki/Q163872
movie-016,person-119,character-016,Rachel Dawes,https://www.wikidata.org/wiki/Q163872
movie-016,person-120,character-017,Scarecrow,https://www.wikidata.org/wiki/Q163872
movie-014,person-121,character-018,Dick Cavett,https://www.wikidata.org/wiki/Q134773
movie-014,person-121,character-019,self,https://www.wikidata.org/wiki/Q134773
movie-014,person-122,character-020,Forrest Gump,https://www.wikidata.org/wiki/Q134773
movie-014,person-123,character-021,Bear Bryant,https://www.wikidata.org/wiki/Q134773
movie-014,person-124,character-022,John Lennon,https://www.wikidata.org/wiki/Q134773
movie-014,person-125,character-023,Lyndon B. Johnson,https://www.wikidata.org/wiki/Q134773
movie-014,person-126,character-020,Forrest Gump,https://www.wikidata.org/wiki/Q134773
movie-014,person-127,character-024,Jenny Curran,https://www.wikidata.org/wiki/Q134773
movie-024,person-128,character-025,Tyler Durden,https://www.wikidata.org/wiki/Q190050
movie-024,person-129,character-026,The Narrator,https://www.wikidata.org/wiki/Q190050
movie-024,person-130,character-027,Robert Paulson,https://www.wikidata.org/wiki/Q190050
movie-024,person-131,character-028,Marla Singer,https://www.wikidata.org/wiki/Q190050
movie-024,person-132,character-029,Angel Face,https://www.wikidata.org/wiki/Q190050
movie-010,person-133,character-030,Butch Coolidge,https://www.wikidata.org/wiki/Q104123
movie-010,person-134,character-031,Vincent Vega,https://www.wikidata.org/wiki/Q104123
movie-010,person-135,character-032,Mia Wallace,https://www.wikidata.org/wiki/Q104123
movie-010,person-136,character-033,Jules Winnfield,https://www.wikidata.org/wiki/Q104123
movie-010,person-137,character-034,Winston Wolfe,https://www.wikidata.org/wiki/Q104123
movie-010,person-138,character-035,Marsellus Wallace,https://www.wikidata.org/wiki/Q104123
movie-027,person-139,character-036,Amon Göth,https://www.wikidata.org/wiki/Q483941
movie-027,person-140,character-037,Oskar Schindler,https://www.wikidata.org/wiki/Q483941
movie-027,person-141,character-038,Itzhak Stern,https://www.wikidata.org/wiki/Q483941
movie-027,person-142,character-039,Emilie Schindler,https://www.wikidata.org/wiki/Q483941
movie-027,person-143,character-040,Helen Hirsch,https://www.wikidata.org/wiki/Q483941
movie-027,person-144,character-041,Diana Reiter,https://www.wikidata.org/wiki/Q483941
movie-027,person-145,character-042,Julian Scherner,https://www.wikidata.org/wiki/Q483941
movie-027,person-146,character-043,Poldek Pfefferberg,https://www.wikidata.org/wiki/Q483941
movie-008,person-147,character-044,Tank,https://www.wikidata.org/wiki/Q83495
movie-008,person-148,character-045,Mouse,https://www.wikidata.org/wiki/Q83495
movie-008,person-149,character-046,Agent Smith,https://www.wikidata.org/wiki/Q83495
movie-008,person-150,character-047,Neo,https://www.wikidata.org/wiki/Q83495
movie-008,person-151,character-048,Morpheus,https://www.wikidata.org/wiki/Q83495
movie-008,person-152,character-049,Trinity,https://www.wikidata.org/wiki/Q83495
movie-008,person-153,character-050,Cypher,https://www.wikidata.org/wiki/Q83495
movie-008,person-154,character-051,Oracle,https://www.wikidata.org/wiki/Q83495
movie-023,person-155,character-052,Han Solo,https://www.wikidata.org/wiki/Q181795
movie-023,person-156,character-053,Obi-Wan Kenobi,https://www.wikidata.org/wiki/Q181795
movie-023,person-157,character-054,Princess Leia,https://www.wikidata.org/wiki/Q181795
movie-023,person-158,character-055,Darth Vader,https://www.wikidata.org/wiki/Q181795
movie-023,person-159,character-056,Luke Skywalker,https://www.wikidata.org/wiki/Q181795
movie-023,person-160,character-057,Yoda,https://www.wikidata.org/wiki/Q181795
movie-023,person-161,character-058,Palpatine,https://www.wikidata.org/wiki/Q181795
